#{"t_start": 1589295552.9303136, "env_id": null}
r,l,t
-91,30,0.744752
29,30,0.800168
200,30,0.861491
80,30,0.922684
120,30,1.206289
-6,30,1.263104
67,30,1.321469
-47,30,1.383318
-75,30,1.471108
28,30,1.529988
-31,30,1.587682
-156,30,1.643974
-112,30,1.728812
140,30,1.786044
140,30,1.845329
-70,30,1.902138
-90,30,1.959384
130,30,2.047184
91,30,2.106064
52,30,2.164151
-109,30,2.219241
140,30,2.305783
110,30,2.364197
-321,30,2.420398
200,30,2.496199
-327,30,2.607949
-171,30,2.665794
-12,30,2.744487
120,30,2.830256
180,30,2.935974
127,30,3.006785
140,30,3.071134
200,30,3.143172
-111,30,3.22399
29,30,3.330668
-136,30,3.409456
31,30,3.484257
180,30,3.562049
120,30,3.675752
160,30,3.748552
68,30,3.820626
-47,30,3.888486
-28,30,3.983183
71,30,4.050958
-28,30,4.199436
107,30,4.356018
-14,30,4.556865
120,30,4.673555
160,30,4.815174
-316,30,4.943829
49,30,5.042566
-32,30,5.318827
6,30,5.480577
140,30,5.597332
160,30,5.699059
62,30,5.836694
200,30,5.935428
10,30,6.023193
90,30,6.100986
100,30,6.22964
29,30,6.310423
220,30,6.402178
73,30,6.492936
120,30,6.652664
100,30,6.83219
-89,30,6.928931
180,30,7.016696
-68,30,7.086097
-48,30,7.192811
-69,30,7.274087
120,30,7.353387
145,30,7.440155
85,30,7.590759
-131,30,7.671537
180,30,7.772269
71,30,7.859036
160,30,7.977717
240,30,8.055511
51,30,8.124326
160,30,8.193141
-50,30,8.260959
100,30,8.357702
-56,30,8.429511
200,30,8.505309
-73,30,8.573126
-26,30,8.673856
-46,30,8.739681
240,30,8.818468
-33,30,8.888281
50,30,8.988017
46,30,9.054837
206,30,9.128641
71,30,9.195463
200,30,9.307161
50,30,9.37598
140,30,9.44679
91,30,9.519593
129,30,9.589293
280,30,9.698999
-324,30,9.763825
-54,30,9.838626
-317,30,9.910434
145,30,10.021135
200,30,10.093941
240,30,10.168743
48,30,10.235564
-12,30,10.342279
26,30,10.433036
51,30,10.506836
67,30,10.573658
89,30,10.688351
-53,30,10.761157
28,30,10.840945
170,30,10.915743
-10,30,11.00251
84,30,11.11222
69,30,11.186018
110,30,11.283759
129,30,11.363546
280,30,11.50417
-32,30,11.572984
-317,30,11.635816
166,30,11.701644
67,30,11.797387
160,30,11.878173
180,30,11.958955
14,30,12.038743
200,30,12.121036
149,30,12.214785
131,30,12.281606
64,30,12.343445
-318,30,12.410261
240,30,12.513984
107,30,12.572829
87,30,12.634618
146,30,12.706427
209,30,12.792231
240,30,12.858019
241,30,12.921264
72,30,12.980142
30,30,13.069373
200,30,13.135161
65,30,13.199471
146,30,13.26552
-31,30,13.326432
-318,30,13.414169
260,30,13.484013
180,30,13.558776
-319,30,13.619714
267,30,13.726429
280,30,13.815191
300,30,13.897969
220,30,13.96479
64,30,14.052194
280,30,14.121011
126,30,14.186896
203,30,14.252812
230,30,14.349368
90,30,14.411524
201,30,14.477132
259,30,14.548905
5,30,14.612133
244,30,14.71586
167,30,14.785359
167,30,14.850605
242,30,14.922378
280,30,15.089202
162,30,15.183947
166,30,15.266067
185,30,15.344003
224,30,15.449198
125,30,15.514229
280,30,15.586548
64,30,15.658612
260,30,15.756633
199,30,15.824715
180,30,15.892581
102,30,15.961145
224,30,16.031635
280,30,16.13857
240,30,16.214627
166,30,16.283263
280,30,16.356932
246,30,16.455379
-322,30,16.528049
200,30,16.597789
300,30,16.672541
-326,30,16.774025
300,30,16.856893
-319,30,16.918753
124,30,16.98599
221,30,17.061861
260,30,17.158807
82,30,17.220829
204,30,17.282498
280,30,17.345831
285,30,17.434544
163,30,17.498372
300,30,17.565596
260,30,17.62939
140,30,17.723175
219,30,17.789996
274,30,17.857814
243,30,17.93557
-317,30,18.037845
-324,30,18.099704
262,30,18.157547
300,30,18.217387
220,30,18.277473
197,30,18.364603
130,30,18.424564
83,30,18.486106
62,30,18.55002
47,30,18.642769
280,30,18.709556
82,30,18.772718
43,30,18.838629
64,30,18.947499
203,30,19.021757
279,30,19.095928
144,30,19.165451
193,30,19.268166
280,30,19.343509
267,30,19.415282
300,30,19.487514
224,30,19.558326
242,30,19.661014
216,30,19.733857
256,30,19.799088
284,30,19.959662
218,30,20.151171
266,30,20.335653
280,30,20.450346
271,30,20.544096
280,30,20.645825
243,30,20.712645
216,30,20.778468
219,30,20.848282
245,30,20.963592
267,30,21.040385
256,30,21.118908
-320,30,21.189722
287,30,21.265512
280,30,21.370232
244,30,21.443754
272,30,21.526073
139,30,21.603696
180,30,21.706478
241,30,21.769277
196,30,21.83221
288,30,21.892339
280,30,21.982777
235,30,22.058573
-322,30,22.128202
256,30,22.200992
300,30,22.272798
234,30,22.36092
280,30,22.42136
177,30,22.481201
201,30,22.542003
178,30,22.631299
241,30,22.701255
222,30,22.765775
300,30,22.840286
300,30,22.954112
224,30,23.027779
-321,30,23.093604
216,30,23.170443
278,30,23.277388
260,30,23.345002
206,30,23.406517
81,30,23.466557
-321,30,23.52257
256,30,23.626471
275,30,23.701334
180,30,23.774175
261,30,23.842954
206,30,23.946986
99,30,24.01925
121,30,24.094093
226,30,24.164867
204,30,24.272473
262,30,24.337729
300,30,24.401988
159,30,24.465365
225,30,24.573074
253,30,24.655858
260,30,24.741625
-313,30,24.815942
224,30,24.886752
242,30,24.974556
236,30,25.050318
-325,30,25.116137
217,30,25.191936
257,30,25.313711
300,30,25.376542
300,30,25.437418
282,30,25.498218
280,30,25.587979
280,30,25.65311
300,30,25.72088
277,30,25.783712
225,30,25.869647
300,30,25.931444
256,30,25.998742
300,30,26.069165
184,30,26.131959
-325,30,26.227989
236,30,26.291795
275,30,26.361649
200,30,26.426439
258,30,26.519224
255,30,26.589
218,30,26.651575
255,30,26.728369
300,30,26.820316
281,30,26.883729
300,30,26.948194
279,30,27.008036
300,30,27.069852
240,30,27.168413
300,30,27.249234
241,30,27.329501
275,30,27.411234
237,30,27.530915
300,30,27.614687
219,30,27.695438
-326,30,27.774233
256,30,27.905873
300,30,27.984671
266,30,28.079408
262,30,28.156818
